Protein Identifier,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,VS111,VS211,VS311,VS411,VS511,VS611,VS711,VS121,VS221,VS321,VS421,VS521,VS621,VS721,VS131,VS231,VS331,VS431,VS531,VS631,VS731,VS141,VS241,VS341,VS441,VS541,VS641,VS741,VS151,VS251,VS351,VS451,VS551,VS651,VS751,VS161,VS261,VS361,VS461,VS561,VS661,VS761,VS171,VS271,VS371,VS471,VS571,VS671,VS771,VS112,VS212,VS312,VS412,VS512,VS612,VS712,VS122,VS222,VS322,VS422,VS522,VS622,VS722,VS132,VS232,VS332,VS432,VS532,VS632,VS732,VS142,VS242,VS342,VS442,VS542,VS642,VS742,VS152,VS252,VS352,VS452,VS552,VS652,VS752,VS162,VS262,VS362,VS462,VS562,VS662,VS762,VS172,VS272,VS372,VS472,VS572,VS672,VS772,VS113,VS213,VS313,VS413,VS513,VS613,VS713,VS123,VS223,VS323,VS423,VS523,VS623,VS723,VS133,VS233,VS333,VS433,VS533,VS633,VS733,VS143,VS243,VS343,VS443,VS543,VS643,VS743,VS153,VS253,VS353,VS453,VS553,VS653,VS753,VS163,VS263,VS363,VS463,VS563,VS663,VS763,VS173,VS273,VS373,VS473,VS573,VS673,VS773,VS114,VS214,VS314,VS414,VS514,VS614,VS714,VS124,VS224,VS324,VS424,VS524,VS624,VS724,VS134,VS234,VS334,VS434,VS534,VS634,VS734,VS144,VS244,VS344,VS444,VS544,VS644,VS744,VS154,VS254,VS354,VS454,VS554,VS654,VS754,VS164,VS264,VS364,VS464,VS564,VS664,VS764,VS174,VS274,VS374,VS474,VS574,VS674,VS774,VS115,VS215,VS315,VS415,VS515,VS615,VS715,VS125,VS225,VS325,VS425,VS525,VS625,VS725,VS135,VS235,VS335,VS435,VS535,VS635,VS735,VS145,VS245,VS345,VS445,VS545,VS645,VS745,VS155,VS255,VS355,VS455,VS555,VS655,VS755,VS165,VS265,VS365,VS465,VS565,VS665,VS765,VS175,VS275,VS375,VS475,VS575,VS675,VS775,VS116,VS216,VS316,VS416,VS516,VS616,VS716,VS126,VS226,VS326,VS426,VS526,VS626,VS726,VS136,VS236,VS336,VS436,VS536,VS636,VS736,VS146,VS246,VS346,VS446,VS546,VS646,VS746,VS156,VS256,VS356,VS456,VS556,VS656,VS756,VS166,VS266,VS366,VS466,VS566,VS666,VS766,VS176,VS276,VS376,VS476,VS576,VS676,VS776,VS117,VS217,VS317,VS417,VS517,VS617,VS717,VS127,VS227,VS327,VS427,VS527,VS627,VS727,VS137,VS237,VS337,VS437,VS537,VS637,VS737,VS147,VS247,VS347,VS447,VS547,VS647,VS747,VS157,VS257,VS357,VS457,VS557,VS657,VS757,VS167,VS267,VS367,VS467,VS567,VS667,VS767,VS177,VS277,VS377,VS477,VS577,VS677,VS777,PSSM_A,PSSM_R,PSSM_N,PSSM_D,PSSM_C,PSSM_Q,PSSM_E,PSSM_G,PSSM_H,PSSM_I,PSSM_L,PSSM_K,PSSM_M,PSSM_F,PSSM_P,PSSM_S,PSSM_T,PSSM_W,PSSM_Y,PSSM_V
P31749,0.052083333333333336,0.0625,0.027083333333333334,0.058333333333333334,0.014583333333333334,0.035416666666666666,0.10208333333333333,0.0625,0.027083333333333334,0.041666666666666664,0.08541666666666667,0.075,0.03333333333333333,0.05625,0.04583333333333333,0.04791666666666667,0.0625,0.014583333333333334,0.0375,0.058333333333333334,2,4,4,2,1,3,0,4,4,4,0,1,2,1,4,5,4,2,1,2,0,1,2,0,2,1,0,0,3,0,0,2,1,3,0,1,2,2,2,6,2,0,0,1,1,0,0,1,0,2,3,5,1,3,5,0,3,7,6,2,6,2,0,5,4,1,3,6,5,0,2,3,0,1,1,1,1,3,6,1,3,2,4,0,2,1,2,1,3,2,0,0,1,0,0,1,0,0,4,3,4,2,3,2,1,1,4,4,5,3,2,0,4,1,1,2,2,2,0,2,4,0,2,0,2,0,2,5,3,0,0,1,0,3,3,4,1,0,3,0,0,0,0,0,0,0,0,2,1,2,0,0,2,0,2,3,3,1,4,0,1,0,2,1,1,1,0,0,1,3,2,1,0,1,0,0,3,1,0,1,1,0,2,2,2,1,0,2,0,0,0,0,1,0,0,0,1,5,2,0,1,2,1,3,6,2,1,3,4,0,3,2,1,1,0,1,0,0,1,1,1,2,2,0,0,3,0,1,0,2,0,0,2,4,2,3,2,0,0,1,0,0,0,0,0,5,0,0,1,1,1,1,5,2,4,0,1,1,0,3,5,4,1,1,4,0,0,1,2,1,2,3,0,4,1,3,1,2,2,1,1,3,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.3653444676409185,-1.37160751565762,-1.4906054279749479,-1.6680584551148225,-2.093945720250522,-1.2338204592901878,-1.2484342379958246,-2.3695198329853864,-1.4801670146137786,-1.638830897703549,-1.6304801670146138,-1.0897703549060542,-1.3486430062630481,-2.012526096033403,-1.7599164926931106,-0.8455114822546973,-1.2338204592901878,-3.478079331941545,-1.9707724425887265,-1.5908141962421711
P31939,0.11148648648648649,0.0472972972972973,0.04054054054054054,0.05574324324324324,0.015202702702702704,0.033783783783783786,0.0625,0.06418918918918919,0.02195945945945946,0.05067567567567568,0.09628378378378379,0.0625,0.016891891891891893,0.03209459459459459,0.04222972972972973,0.06587837837837837,0.05405405405405406,0.008445945945945946,0.030405405405405407,0.08783783783783784,12,14,8,4,5,2,0,9,7,8,5,1,4,0,7,7,0,3,5,3,2,2,3,2,2,3,3,0,6,3,1,1,1,3,0,0,1,5,1,4,5,2,0,0,1,0,0,0,0,7,9,6,3,3,8,1,10,5,7,2,3,4,0,8,3,3,2,4,2,0,2,6,2,3,3,1,1,2,2,4,0,0,1,0,3,3,2,0,3,2,1,0,0,0,0,0,0,0,12,1,6,1,1,3,0,7,8,2,4,1,3,0,1,3,1,3,2,1,0,4,1,5,2,1,2,0,4,2,1,0,1,3,0,1,3,3,0,1,1,0,2,0,0,1,0,0,0,2,3,1,3,1,0,0,5,2,2,2,1,1,0,2,4,1,3,0,1,0,2,2,1,0,3,0,0,4,3,1,0,4,0,0,1,1,1,0,2,2,0,1,0,0,0,0,0,0,5,4,5,1,3,2,0,3,5,2,3,1,1,0,1,3,3,1,0,2,1,0,0,1,0,2,0,0,2,1,2,1,1,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,1,3,1,1,0,3,4,1,1,2,1,0,5,5,3,2,0,0,0,0,0,0,0,0,1,0,2,4,2,1,1,0,0,2,4,3,0,0,4,1,3,1,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4450084602368866,-1.5431472081218274,-1.4213197969543148,-1.4890016920473774,-2.482233502538071,-1.2047377326565143,-1.1505922165820643,-1.769881556683587,-1.8071065989847717,-1.4450084602368867,-1.6328257191201354,-1.1150592216582065,-1.4247038917089678,-2.0439932318104908,-1.9983079526226735,-0.9898477157360406,-1.027072758037225,-2.9830795262267342,-1.9746192893401016,-1.1827411167512691
P31946,0.08536585365853659,0.04065040650406504,0.056910569105691054,0.056910569105691054,0.008130081300813009,0.06097560975609756,0.12195121951219512,0.04065040650406504,0.008130081300813009,0.04065040650406504,0.0975609756097561,0.08130081300813008,0.032520325203252036,0.024390243902439025,0.02032520325203252,0.07723577235772358,0.04878048780487805,0.008130081300813009,0.044715447154471545,0.044715447154471545,3,0,2,1,1,2,0,2,0,1,0,2,1,0,1,2,1,1,1,1,0,0,1,0,2,1,2,0,0,0,3,2,0,1,0,2,1,1,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,3,0,0,1,2,3,0,2,0,0,2,2,1,2,2,1,0,1,4,0,1,1,0,1,1,0,0,0,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,3,2,1,3,0,2,0,0,2,1,2,1,2,0,0,2,1,1,1,0,0,1,2,0,1,1,3,0,1,2,0,0,3,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,2,0,0,1,0,3,3,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,2,0,3,1,2,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,2,2,0,0,0,0,2,1,1,0,1,2,0,1,0,1,0,0,2,0,1,0,1,0,0,1,0,1,2,2,1,1,1,0,0,0,0,0,0,0,0,1,2,1,2,1,3,0,3,1,2,1,1,1,0,1,1,3,0,3,0,0,1,2,2,0,1,0,1,1,1,2,0,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4857142857142857,-1.1183673469387756,-0.9918367346938776,-1.0040816326530613,-2.236734693877551,-0.5510204081632653,-0.2653061224489796,-1.8489795918367347,-1.420408163265306,-1.5673469387755101,-1.453061224489796,-0.5673469387755102,-1.0285714285714285,-2.016326530612245,-1.9224489795918367,-0.49387755102040815,-0.6571428571428571,-2.742857142857143,-1.5387755102040817,-1.2612244897959184
P31948,0.09392265193370165,0.049723756906077346,0.05156537753222836,0.06998158379373849,0.020257826887661142,0.05156537753222836,0.10128913443830571,0.03683241252302026,0.016574585635359115,0.03867403314917127,0.09392265193370165,0.11602209944751381,0.03314917127071823,0.020257826887661142,0.055248618784530384,0.03314917127071823,0.03683241252302026,0.001841620626151013,0.053406998158379376,0.02578268876611418,3,1,2,1,3,3,0,1,2,1,3,3,6,0,3,2,1,0,2,1,0,0,2,0,3,1,2,0,2,1,1,6,4,4,0,1,4,5,2,4,5,0,0,0,0,0,0,0,0,3,4,2,3,3,7,0,2,6,3,1,3,3,0,3,1,3,1,3,2,0,1,6,1,2,3,2,0,3,3,4,5,1,2,0,3,8,4,2,6,2,0,0,0,0,0,0,2,0,2,5,0,1,6,4,0,3,1,2,3,5,4,0,3,5,2,3,1,2,3,2,1,1,1,2,1,0,0,1,1,3,1,1,1,3,3,0,1,2,1,0,1,0,0,1,1,0,0,1,3,1,1,2,2,0,3,2,3,1,2,3,2,2,5,2,2,0,2,0,2,2,1,1,0,0,1,0,4,2,1,2,1,0,1,4,2,0,2,0,0,0,0,0,0,1,0,0,1,1,2,1,1,4,0,8,3,1,4,0,4,0,5,0,5,0,2,2,0,2,3,10,0,2,3,0,3,3,3,1,2,1,0,2,1,1,1,2,2,1,1,0,1,0,1,0,0,2,2,2,1,3,0,0,5,4,3,3,5,4,0,2,5,5,2,0,1,0,3,1,0,0,2,1,0,2,7,3,2,2,1,2,0,4,4,0,2,4,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,-0.14206642066420663,-0.34870848708487084,-0.5498154981549815,-0.8431734317343174,-0.5627306273062731,0.07195571955719557,0.04059040590405904,-1.8431734317343174,0.11623616236162361,-1.0166051660516606,-0.3966789667896679,-0.1033210332103321,-0.07933579335793357,-1.014760147601476,-2.254612546125461,-0.6974169741697417,-1.1900369003690037,-0.9907749077490775,-0.12361623616236163,-1.2859778597785978
P33778,0.09523809523809523,0.06349206349206349,0.023809523809523808,0.023809523809523808,0.0,0.023809523809523808,0.05555555555555555,0.05555555555555555,0.023809523809523808,0.06349206349206349,0.047619047619047616,0.15873015873015872,0.023809523809523808,0.015873015873015872,0.047619047619047616,0.11904761904761904,0.06349206349206349,0.0,0.03968253968253968,0.05555555555555555,0,1,1,1,1,0,0,1,1,1,0,2,1,0,1,1,0,1,1,1,0,0,0,0,0,2,0,0,0,0,4,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,2,0,0,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,0,3,0,2,0,0,1,0,0,2,3,0,2,1,0,1,1,1,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,5,2,3,0,1,0,0,1,0,1,0,0,0,0,1,1,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.28,-0.368,-1.008,-1.536,-2.304,-0.664,-0.808,-1.328,-1.16,-1.568,-1.632,0.216,-1.144,-2.072,-1.472,0.04,-0.352,-2.816,-1.752,-1.176
P33981,0.047841306884480746,0.03500583430571762,0.06417736289381563,0.05367561260210035,0.019836639439906652,0.0676779463243874,0.06651108518086347,0.038506417736289385,0.019836639439906652,0.060676779463243874,0.08984830805134189,0.09334889148191365,0.023337222870478413,0.029171528588098017,0.052508751458576426,0.10268378063010501,0.045507584597432905,0.009334889148191364,0.030338389731621937,0.050175029171528586,1,4,4,1,3,1,0,7,8,5,6,3,6,0,3,12,7,4,4,1,0,1,4,3,1,0,1,0,4,2,3,2,2,1,0,1,4,2,2,0,2,1,0,0,0,0,0,1,0,4,4,4,5,3,5,0,5,6,10,7,4,6,2,4,7,5,12,7,6,0,11,1,4,8,8,2,1,5,4,3,5,1,1,0,2,11,3,5,6,3,1,2,1,2,0,0,2,1,3,7,5,0,1,1,0,2,6,7,8,6,6,2,5,7,12,6,3,6,0,6,6,1,8,8,4,0,5,5,4,2,4,2,1,2,5,4,3,4,4,1,0,0,0,0,0,0,0,1,10,11,1,3,1,1,4,7,5,5,3,4,2,0,2,4,5,0,4,0,6,9,3,10,2,1,0,1,8,6,4,4,1,0,2,1,4,0,1,1,0,1,0,0,0,0,0,0,3,5,5,3,4,2,0,4,4,4,3,1,6,2,3,2,7,1,4,3,0,0,5,3,2,3,1,0,3,2,2,1,4,4,1,1,4,1,2,0,2,0,0,1,0,1,0,1,0,2,2,2,0,0,2,0,2,9,9,6,2,3,0,2,7,3,3,5,2,0,3,5,1,2,3,0,0,4,2,2,0,1,1,1,0,5,6,1,0,1,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,-0.8656542056074766,-0.822429906542056,-0.8095794392523364,-1.1133177570093458,-2.1448598130841123,-0.5700934579439252,-0.7114485981308412,-1.7126168224299065,-1.0186915887850467,-1.375,-1.3200934579439252,-0.5315420560747663,-1.044392523364486,-1.8294392523364487,-0.927570093457944,-0.1927570093457944,-0.6740654205607477,-2.9369158878504673,-1.691588785046729,-1.2651869158878504
P33993,0.08344923504867872,0.08623087621696801,0.02642559109874826,0.059805285118219746,0.015299026425591099,0.061196105702364396,0.07927677329624479,0.055632823365785816,0.013908205841446454,0.048678720445062586,0.09874826147426982,0.04450625869262865,0.031988873435326845,0.027816411682892908,0.043115438108484005,0.059805285118219746,0.04728789986091794,0.004172461752433936,0.03477051460361613,0.07788595271210014,9,6,8,4,1,5,1,6,7,7,4,8,5,0,9,7,5,1,9,4,0,3,4,0,1,1,5,0,4,3,3,0,1,2,0,5,3,2,2,5,3,0,0,0,0,1,1,0,0,7,4,8,3,4,3,0,7,9,4,6,3,3,0,2,8,3,4,5,4,1,5,3,4,3,4,0,0,7,4,6,4,2,3,0,5,5,0,3,2,6,0,0,1,1,0,0,0,1,3,7,2,3,4,3,1,4,6,5,2,7,7,2,3,6,4,1,0,3,0,1,3,1,3,0,3,1,7,6,2,3,3,2,0,5,2,2,1,3,2,0,0,0,0,0,1,0,0,5,4,3,2,2,3,0,1,5,4,3,1,1,0,0,3,2,1,6,0,0,4,1,0,2,0,2,0,0,2,1,0,1,1,0,5,2,3,1,2,0,2,0,0,0,0,0,1,0,4,5,9,2,1,3,0,6,4,1,2,4,2,0,6,4,1,4,2,3,0,3,0,4,0,0,3,0,4,1,3,0,0,0,0,3,4,1,1,3,0,0,0,0,1,0,0,0,0,5,10,6,0,1,3,0,5,1,5,1,3,3,1,2,4,1,1,1,1,0,3,4,3,0,0,1,0,1,3,5,2,1,4,1,2,3,2,2,2,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.6309192200557103,-0.4805013927576602,-0.9345403899721448,-0.7144846796657381,-2.0445682451253484,-0.5445682451253482,-0.2200557103064067,-1.4958217270194987,-1.15041782729805,-0.5376044568245125,-0.6768802228412256,-0.3983286908077994,-0.7924791086350975,-1.392757660167131,-1.298050139275766,-0.5807799442896936,-0.6058495821727019,-2.8997214484679668,-1.286908077994429,-0.6128133704735376
P34897,0.10714285714285714,0.08134920634920635,0.03373015873015873,0.057539682539682536,0.015873015873015872,0.041666666666666664,0.05555555555555555,0.07341269841269842,0.023809523809523808,0.041666666666666664,0.1111111111111111,0.04365079365079365,0.021825396825396824,0.041666666666666664,0.047619047619047616,0.05952380952380952,0.047619047619047616,0.007936507936507936,0.031746031746031744,0.05555555555555555,6,7,2,4,5,4,0,5,3,5,7,2,3,1,3,5,4,2,6,2,0,1,3,2,2,3,0,0,6,3,1,2,3,2,1,3,5,2,0,1,2,0,0,0,0,0,1,0,0,6,5,7,2,6,3,0,7,4,4,1,4,6,0,3,7,5,0,2,1,1,8,3,0,2,1,2,0,4,4,1,1,1,2,0,4,6,1,2,1,2,0,0,0,2,0,0,0,0,3,5,3,1,2,1,0,3,5,6,3,2,0,0,6,3,3,0,2,3,0,2,0,1,1,1,0,0,4,3,1,2,1,1,0,1,4,2,1,2,0,0,1,1,0,0,0,0,0,4,3,3,1,3,1,1,1,4,2,1,3,0,1,0,1,2,2,0,2,0,2,2,1,1,0,1,0,0,4,1,1,0,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,5,3,5,1,0,3,0,4,3,2,3,2,4,0,0,2,1,0,2,0,1,2,2,2,1,1,0,1,2,1,1,1,0,0,0,2,1,0,1,2,1,0,0,0,0,1,0,0,0,4,3,2,1,2,0,0,9,6,1,0,0,3,0,2,1,2,0,0,2,0,1,2,1,0,0,0,0,1,3,1,1,0,1,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.34393638170974156,-1.2564612326043738,-1.4274353876739563,-1.5487077534791251,-2.2186878727634194,-1.2147117296222665,-1.1232604373757455,-1.614314115308151,-1.2544731610337971,-1.3538767395626243,-1.2584493041749503,-1.220675944333996,-1.099403578528827,-1.7912524850894633,-1.9542743538767395,-0.8807157057654076,-0.8966202783300199,-2.914512922465209,-1.731610337972167,-1.1292246520874751
P35232,0.11397058823529412,0.06985294117647059,0.025735294117647058,0.05514705882352941,0.003676470588235294,0.05514705882352941,0.07352941176470588,0.0625,0.011029411764705883,0.07720588235294118,0.09926470588235294,0.04411764705882353,0.003676470588235294,0.04779411764705882,0.03308823529411765,0.0625,0.051470588235294115,0.003676470588235294,0.014705882352941176,0.09191176470588236,7,5,3,1,5,4,0,3,2,5,0,3,3,0,1,2,0,2,1,0,0,0,1,1,1,3,0,0,1,1,1,1,1,4,0,5,2,1,1,0,1,0,0,0,0,0,0,0,0,2,4,2,1,2,1,0,6,6,1,3,3,3,0,2,3,2,1,0,1,0,1,1,4,0,1,0,0,3,3,1,1,1,1,0,2,1,1,1,3,2,0,0,0,0,0,0,0,0,2,3,1,1,0,2,0,2,4,2,4,0,2,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,0,3,0,0,0,1,0,3,3,0,0,0,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,3,1,0,2,1,0,2,1,0,0,2,1,0,2,0,1,1,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,7,1,1,1,1,2,0,1,4,0,0,2,0,0,1,2,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.24723247232472326,-0.7158671586715867,-1.029520295202952,-1.2619926199261993,-2.4797047970479706,-0.4575645756457565,-0.5276752767527675,-1.7047970479704797,-1.7527675276752768,-0.4059040590405904,-0.8302583025830258,-0.5129151291512916,-0.5682656826568265,-1.4797047970479704,-1.8560885608856088,-0.6162361623616236,-0.4870848708487085,-2.878228782287823,-1.4243542435424354,-0.41697416974169743
P35568,0.07971014492753623,0.06924315619967794,0.02818035426731079,0.039452495974235106,0.016908212560386472,0.03542673107890499,0.05152979066022544,0.10386473429951691,0.03784219001610306,0.02254428341384863,0.06280193236714976,0.033011272141706925,0.02576489533011272,0.02254428341384863,0.10144927536231885,0.14653784219001612,0.04830917874396135,0.005636070853462158,0.02576489533011272,0.043478260869565216,35,18,15,4,7,8,2,17,11,15,3,7,7,0,14,13,18,5,4,6,3,2,5,7,2,0,2,0,5,7,6,3,6,0,0,4,2,7,1,1,6,0,0,1,1,0,1,0,0,15,13,14,6,3,3,0,8,13,12,13,5,0,1,16,7,23,4,6,5,4,3,12,4,6,4,2,0,12,5,4,4,2,0,1,8,7,1,0,2,5,1,0,1,2,1,1,1,0,15,12,18,2,6,5,0,12,6,20,2,4,4,2,20,14,37,10,6,13,1,7,6,9,4,5,1,0,1,7,7,3,5,0,0,13,6,4,3,0,6,0,1,2,1,1,2,2,0,8,3,2,4,2,1,1,8,7,3,7,3,5,2,0,6,6,7,3,3,1,6,7,1,6,3,1,0,1,3,2,6,5,1,0,1,3,3,0,1,1,0,0,0,0,0,0,0,0,7,7,7,0,3,2,0,6,8,5,4,4,5,1,3,7,6,3,2,2,0,3,4,3,4,4,1,0,4,8,2,2,2,2,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,8,7,8,1,6,2,0,3,6,7,2,3,3,0,3,3,10,3,2,2,0,0,1,1,2,0,2,0,2,3,1,0,0,0,0,6,5,6,0,2,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,0,2,0,0,2,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.062046736502820304,-0.26510878323932313,-0.8936341659951652,-0.9540692989524577,-1.9170024174053182,0.1426269137792103,-0.36502820306204675,-0.44077356970185333,-0.45527800161160353,-1.6623690572119258,-1.1829170024174054,-0.47139403706688154,-1.0894439967767928,-1.8509266720386786,1.9371474617244158,1.0273972602739727,0.4939564867042707,-2.531829170024174,-1.4157937147461725,-0.9460112812248187
P35606,0.0739514348785872,0.04304635761589404,0.04525386313465784,0.06070640176600441,0.016556291390728478,0.04083885209713024,0.08388520971302428,0.05849889624724062,0.025386313465783666,0.05739514348785872,0.09713024282560706,0.06070640176600441,0.019867549668874173,0.037527593818984545,0.03532008830022075,0.0673289183222958,0.04856512141280353,0.02097130242825607,0.03532008830022075,0.0717439293598234,2,10,7,4,5,3,1,7,10,8,8,7,8,2,10,5,6,5,4,4,0,5,4,4,7,2,1,0,2,4,3,1,0,6,0,5,9,2,1,3,5,0,2,0,2,1,0,0,0,5,7,4,4,3,4,0,4,13,14,5,4,5,1,9,6,6,8,6,6,0,4,10,4,3,3,3,1,10,4,1,4,2,3,0,10,8,4,3,3,3,2,2,0,0,1,1,2,0,5,14,8,4,2,2,1,4,8,4,5,3,3,0,3,6,11,2,3,4,0,5,6,6,1,3,1,0,6,2,1,3,1,3,0,4,4,4,5,3,3,0,0,0,1,0,0,0,0,4,3,7,5,4,6,2,4,3,6,1,5,8,1,4,3,0,2,0,7,1,6,3,2,3,3,1,0,3,4,0,2,2,2,0,0,2,3,2,4,1,0,0,0,0,0,1,0,0,5,9,3,5,1,3,0,4,8,4,5,0,3,0,2,3,1,0,1,0,0,3,1,0,2,2,4,0,1,2,1,0,1,2,0,5,4,3,2,1,3,0,0,0,0,0,0,0,0,10,6,4,1,1,5,1,4,4,6,4,5,6,2,6,4,5,4,1,2,0,6,4,1,2,0,2,0,4,7,0,2,1,2,0,3,4,6,1,2,1,0,1,0,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9447513812154696,-1.4861878453038675,-1.1878453038674033,-1.2574585635359117,-1.2541436464088398,-1.2585635359116023,-1.3878453038674032,-1.6651933701657458,-1.123756906077348,-1.478453038674033,-1.4441988950276243,-1.2265193370165746,-1.5558011049723757,-1.8209944751381215,-2.498342541436464,-0.23425414364640884,-0.5303867403314917,-2.549171270718232,-1.7955801104972375,-1.0928176795580111
